partnerId,locationId,listingId,link id,override,PL Status
532,8865667,100094485,8865667-100094485,Antimatch,NoPowerListing
532,9050086,100148830,9050086-100148830,Antimatch,NoPowerListing
532,9049736,100546605,9049736-100546605,Antimatch,NoPowerListing
532,9049911,100891991,9049911-100891991,Antimatch,NoPowerListing
532,9050146,100993539,9050146-100993539,Antimatch,NoPowerListing
532,8865712,101023212,8865712-101023212,Antimatch,NoPowerListing
532,9050132,101342250,9050132-101342250,Antimatch,NoPowerListing
532,9049775,101630753,9049775-101630753,Antimatch,NoPowerListing
532,8865544,102584470,8865544-102584470,Antimatch,NoPowerListing
483,8865704,102638163,8865704-102638163,Antimatch,NoPowerListing
532,9049820,103515212,9049820-103515212,Antimatch,NoPowerListing
532,9049577,103515212,9049577-103515212,Antimatch,NoPowerListing
532,9050001,103840760,9050001-103840760,Antimatch,NoPowerListing
532,9049605,103851486,9049605-103851486,Antimatch,NoPowerListing
532,9049605,103875320,9049605-103875320,Antimatch,NoPowerListing
532,9049605,103972954,9049605-103972954,Antimatch,NoPowerListing
440,9050069,104034772,9050069-104034772,Antimatch,NoPowerListing
532,9050028,104175611,9050028-104175611,Antimatch,NoPowerListing
483,9049757,105070483,9049757-105070483,Antimatch,NoPowerListing
553,9049722,105449875,9049722-105449875,Antimatch,NoPowerListing
553,9049546,105450832,9049546-105450832,Antimatch,NoPowerListing
553,9049516,105452667,9049516-105452667,Antimatch,NoPowerListing
439,9050022,105996125,9050022-105996125,Antimatch,NoPowerListing
553,8865684,106280081,8865684-106280081,Antimatch,NoPowerListing
532,8865667,106932788,8865667-106932788,Antimatch,NoPowerListing
462,8865567,107031441,8865567-107031441,Antimatch,NoPowerListing
661,9049676,107131863,9049676-107131863,Antimatch,NoPowerListing
578,9049676,107141799,9049676-107141799,Antimatch,NoPowerListing
439,8865567,107170298,8865567-107170298,Antimatch,NoPowerListing
462,9049676,107187940,9049676-107187940,Antimatch,NoPowerListing
439,9049676,107196105,9049676-107196105,Antimatch,NoPowerListing
550,9049676,107210938,9049676-107210938,Antimatch,NoPowerListing
550,9049676,107210941,9049676-107210941,Antimatch,NoPowerListing
550,9049676,107210943,9049676-107210943,Antimatch,NoPowerListing
483,9049676,107216922,9049676-107216922,Antimatch,NoPowerListing
433,9049676,107225705,9049676-107225705,Antimatch,NoPowerListing
433,9049676,107225708,9049676-107225708,Antimatch,NoPowerListing
402,9049676,107233342,9049676-107233342,Antimatch,NoPowerListing
662,9049676,107260277,9049676-107260277,Antimatch,NoPowerListing
662,9049676,107260280,9049676-107260280,Antimatch,NoPowerListing
545,9049676,107262007,9049676-107262007,Antimatch,NoPowerListing
545,9049676,107262008,9049676-107262008,Antimatch,NoPowerListing
392,9049676,107262387,9049676-107262387,Antimatch,NoPowerListing
524,9049676,107263098,9049676-107263098,Antimatch,NoPowerListing
505,9049676,107275623,9049676-107275623,Antimatch,NoPowerListing
532,9050046,107279405,9050046-107279405,Antimatch,NoPowerListing
532,9049781,107858001,9049781-107858001,Antimatch,NoPowerListing
