Link ID,Store ID,Location ID,Folder,Country,Publisher ID,Publisher,Location Name,Location Address,Location NPI,Location Address 2,Location City,Location State,Location Zip,Location Phone,Location Local Phone,Location Latitude,Location Longitude,External ID,Listing Name,Listing Address,Listing NPI,Listing Address 2,Listing City,Listing State,Listing Zip,Listing Phone,Listing Latitude,Listing Longitude,Listing URL,Sync External ID,Sync URL,Review Count,Listing ID,SQL Override,SQL PL Status,Status,Live Sync,Live Suppress,Advertiser/Claimed,Likes/Check-ins,Last Post Date
5682668-121565283,4266,5682668,FL,US,547,8coupons,Windtraders,2901 Osceola Pkwy,,Suite G,Orlando,FL,32830,4079395277,,28.355716,-81.592732,'6190376,,2901 Osceola Pkwy,,Suite D,Orlando,FL,32832,4079395277,,,http://www.8coupons.com/discounts/valley-of-mo-ara-orlando-32832,'6190364,http://www.8coupons.com/discounts/windtraders-orlando-32835,0,'121565283,Match,NoPowerListing,NOT_FOUND,0,0,0,0,0
3697248-101519441,90002688;entityType=restaurant,3697248,FL,US,547,8coupons,Westward Ho,1510 North Avenue of the Stars,,,Orlando,FL,32836,4079393463,,28.419008923240533,-81.58364200859825,'5958858,,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,,http://www.8coupons.com/discounts/tangierine-cafe-orlando-32830,'5958864,http://www.8coupons.com/discounts/westward-ho-orlando-32836,0,'101519441,Match,NoPowerListing,NOT_FOUND,0,0,0,0,0
3697471-101519441,90002205;entityType=restaurant,3697471,FL,US,547,8coupons,Tangierine Café,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,28.3682308,-81.5518372,'5958858,,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,,http://www.8coupons.com/discounts/tangierine-cafe-orlando-32830,'6288738,http://www.8coupons.com/discounts/tangierine-caf-orlando-32830,0,'101519441,Match,NoPowerListing,NOT_FOUND,0,0,0,0,0
3697470-101519441,90002190;entityType=restaurant,3697470,FL,US,547,8coupons,Sunshine Seasons,1510 N Avenue of the stars,,,Orlando,FL,32830,4079393463,,28.3741286,-81.5519677,'5958858,,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,,http://www.8coupons.com/discounts/tangierine-cafe-orlando-32830,'5958637,http://www.8coupons.com/discounts/sunshine-seasons-orlando-32830,0,'101519441,Match,NoPowerListing,NOT_FOUND,0,0,0,0,0
3697469-101519441,90002154;entityType=restaurant,3697469,FL,US,547,8coupons,Sommerfest,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,28.3680983,-81.546971,'5958858,,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,,http://www.8coupons.com/discounts/tangierine-cafe-orlando-32830,'5958739,http://www.8coupons.com/discounts/sommerfest-orlando-32830,0,'101519441,Match,NoPowerListing,NOT_FOUND,0,0,0,0,0
5682666-121565283,4264,5682666,FL,US,547,8coupons,Satu'li Canteen,2901 Osceola Pkwy,,Suite E,Orlando,FL,32830,4079395277,,28.3561255,-81.5924443,'6190376,,2901 Osceola Pkwy,,Suite D,Orlando,FL,32832,4079395277,,,http://www.8coupons.com/discounts/valley-of-mo-ara-orlando-32832,'6190374,http://www.8coupons.com/discounts/satu-li-canteen-orlando-32833,0,'121565283,Match,NoPowerListing,NOT_FOUND,0,0,0,0,0
3697468-101519441,90002084;entityType=restaurant,3697468,FL,US,547,8coupons,Rose & Crown Dining Room,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,28.3705193,-81.5517003,'5958858,,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,,http://www.8coupons.com/discounts/tangierine-cafe-orlando-32830,'5958817,http://www.8coupons.com/discounts/rose-crown-dining-room-orlando-32830,0,'101519441,Match,NoPowerListing,NOT_FOUND,0,0,0,0,0
3697467-101519441,90002068;entityType=restaurant,3697467,FL,US,547,8coupons,Restaurant Marrakesh,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,28.367775061008864,-81.55213632638925,'5958858,,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,,http://www.8coupons.com/discounts/tangierine-cafe-orlando-32830,'5958874,http://www.8coupons.com/discounts/restaurant-marrakesh-orlando-32830,0,'101519441,Match,NoPowerListing,NOT_FOUND,0,0,0,0,0
3697472-101519441,90002672;entityType=restaurant,3697472,FL,US,547,8coupons,Refreshment Port,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,28.3717544,-81.5505793,'5958858,,1510 N Avenue of the Stars,,,Orlando,FL,32830,4079393463,,,http://www.8coupons.com/discounts/tangierine-cafe-orlando-32830,'5958795,http://www.8coupons.com/discounts/the-refreshment-port-orlando-32830,0,'101519441,Match,NoPowerListing,NOT_FOUND,0,0,0,0,0
6185285-129722051,17337094;entityType=restaurant,6185285,CA,US,547,8coupons,Pretzels near Hyperion Theater,"Disney California Adventure Park, Sunset Boulevard",,,Anaheim,CA,92802,7147814565,,33.80731583917177,-117.91697323322296,'6241514,,"Disney California Adventure Park, Sunset Boulevard",,,Anaheim,CA,92802,7147814565,,,http://www.8coupons.com/discounts/hollywood-land-pretzel-cart-anaheim-92802,'6295027,http://www.8coupons.com/discounts/pretzels-near-hyperion-theater-anaheim-92802,0,'129722051,Match,NoPowerListing,NOT_FOUND,0,0,0,0,0
